Accuracy,Recall,Precision,Train time
0.55,1.0,0.5263157894736842,0.06502509117126465
0.7,0.4,1.0,0.06462216377258301
0.55,0.3,0.6,0.05624699592590332
0.6,0.2,1.0,0.05852198600769043
0.5,0.3,0.5,0.05933403968811035
0.6,0.3,0.75,0.056488037109375
0.6,0.5,0.625,0.06995391845703125
0.6,0.5,0.625,0.05936288833618164
0.6,0.3,0.75,0.06533002853393555
0.6,1.0,0.5555555555555556,0.06491780281066895
0.5,1.0,0.5,0.06684398651123047
0.65,0.3,1.0,0.06601691246032715
0.6,0.3,0.75,0.06868195533752441
0.55,0.1,1.0,0.06746411323547363
0.55,0.3,0.6,0.06749296188354492
0.5,0.1,0.5,0.0677640438079834
0.65,0.6,0.6666666666666666,0.06971311569213867
0.7,0.6,0.75,0.06727814674377441
0.55,0.1,1.0,0.07167696952819824
0.6,1.0,0.5555555555555556,0.07073307037353516
0.55,1.0,0.5263157894736842,0.05685091018676758
0.7,0.4,1.0,0.058091163635253906
0.55,0.3,0.6,0.06019711494445801
0.6,0.2,1.0,0.05746793746948242
0.5,0.3,0.5,0.0612490177154541
0.6,0.3,0.75,0.05686688423156738
0.6,0.5,0.625,0.0929570198059082
0.6,0.5,0.625,0.05736994743347168
0.6,0.3,0.75,0.07033514976501465
0.6,1.0,0.5555555555555556,0.11136698722839355
0.5,1.0,0.5,0.07167887687683105
0.85,0.8,0.8888888888888888,0.05843091011047363
0.65,0.4,0.8,0.059638023376464844
0.65,0.3,1.0,0.06217598915100098
0.55,0.3,0.6,0.057785987854003906
0.5,0.1,0.5,0.05460309982299805
0.6,0.4,0.6666666666666666,0.06528306007385254
0.75,0.7,0.7777777777777778,0.05784296989440918
0.75,0.6,0.8571428571428571,0.06147289276123047
0.6,1.0,0.5555555555555556,0.060185909271240234
0.5,1.0,0.5,0.05152010917663574
0.85,0.8,0.8888888888888888,0.0535891056060791
0.6,0.5,0.625,0.05261707305908203
0.65,0.3,1.0,0.05014300346374512
0.55,0.3,0.6,0.0551910400390625
0.55,0.2,0.6666666666666666,0.050633907318115234
0.6,0.4,0.6666666666666666,0.05238604545593262
0.7,0.7,0.7,0.047821998596191406
0.7,0.6,0.75,0.045970916748046875
0.6,1.0,0.5555555555555556,0.05151009559631348
0.5,1.0,0.5,0.07149815559387207
0.85,0.8,0.8888888888888888,0.06203508377075195
0.65,0.4,0.8,0.056509971618652344
0.65,0.3,1.0,0.07937908172607422
0.55,0.3,0.6,0.06643986701965332
0.5,0.1,0.5,0.05658698081970215
0.6,0.4,0.6666666666666666,0.05813717842102051
0.75,0.7,0.7777777777777778,0.05619311332702637
0.75,0.6,0.8571428571428571,0.05516791343688965
0.6,1.0,0.5555555555555556,0.05482602119445801
0.5,1.0,0.5,0.04758191108703613
0.85,0.8,0.8888888888888888,0.04713106155395508
0.6,0.5,0.625,0.04697299003601074
0.65,0.3,1.0,0.05386686325073242
0.55,0.3,0.6,0.05101203918457031
0.55,0.2,0.6666666666666666,0.0508580207824707
0.6,0.4,0.6666666666666666,0.048983097076416016
0.7,0.7,0.7,0.05515289306640625
0.7,0.6,0.75,0.0493779182434082
0.6,1.0,0.5555555555555556,0.05292201042175293
0.5,1.0,0.5,0.06967401504516602
0.65,0.3,1.0,0.07005810737609863
0.6,0.3,0.75,0.07138204574584961
0.55,0.1,1.0,0.07357001304626465
0.55,0.3,0.6,0.06856513023376465
0.5,0.1,0.5,0.07007217407226562
0.65,0.6,0.6666666666666666,0.07036089897155762
0.7,0.6,0.75,0.06979203224182129
0.55,0.1,1.0,0.07741189002990723
0.6,1.0,0.5555555555555556,0.0708620548248291
